,acceptedName,className,classGroup,classGroupNum,redlistCategory,redlistGroup,code,ias,weight
1,Abelmoschus ficulneus,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
2,Acacia acradenia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
3,Acacia acuminata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
4,Acacia adsurgens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
5,Acacia adunca,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
6,Acacia aestivalis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
7,Acacia alleniana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
8,Acacia alpina,MAGNOLIOPSIDA,Plant,3,Least Concern,2,7.1.1,,1
9,Acacia amblyophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
10,Acacia ampliceps,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
11,Acacia anastema,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
12,Acacia anaticeps,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
13,Acacia ancistrocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
14,Acacia anfractuosa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
15,Acacia angusta,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
16,Acacia anthochaera,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
17,Acacia aprepta,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
18,Acacia aptaneura,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
19,Acacia areolata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
20,Acacia argyrodendron,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
21,Acacia armitii,MAGNOLIOPSIDA,Plant,3,Near Threatened,3,8.1.2,Sus scrofa,4
22,Acacia assimilis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
23,Acacia ayersiana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
24,Acacia bancroftiorum,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
25,Acacia beauverdiana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
26,Acacia betchei,MAGNOLIOPSIDA,Plant,3,Least Concern,2,2.1.3,,1
27,Acacia blakei,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
28,Acacia blakelyi,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
29,Acacia brachystachya,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
30,Acacia brassii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
31,Acacia brumalis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
32,Acacia burrowii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
33,Acacia caesaneura,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
34,Acacia calamifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
35,Acacia calcicola,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
36,Acacia cambagei,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
37,Acacia cangaiensis,MAGNOLIOPSIDA,Plant,3,Endangered,5,8.1.2,Opuntia stricta,12
38,Acacia caroleae,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
39,Acacia catenulata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
